episode,length,end reason,reward sum
319,94,Fencer went out of bounds,-293
320,100,Fencer went out of bounds,-299
321,125,Fencer went out of bounds,-306
322,100,Fencer went out of bounds,-299
323,120,Fencer went out of bounds,-306
324,118,Fencer went out of bounds,-305
325,123,Fencer went out of bounds,-305
326,89,Fencer went out of bounds,-288
327,96,Fencer went out of bounds,-295
328,112,Fencer went out of bounds,-306
329,101,Fencer went out of bounds,-300
330,95,Fencer went out of bounds,-294
331,88,Fencer went out of bounds,-287
332,124,Fencer went out of bounds,-305
333,89,Fencer went out of bounds,-288
334,120,Fencer went out of bounds,-306
335,140,Fencer went out of bounds,-305
336,88,Fencer went out of bounds,-287
337,136,Fencer went out of bounds,-305
338,97,Fencer went out of bounds,-296
339,124,Fencer went out of bounds,-307
340,85,Fencer went out of bounds,-284
341,89,Fencer went out of bounds,-288
342,115,Fencer went out of bounds,-306
343,120,Fencer went out of bounds,-306
344,112,Fencer went out of bounds,-308
345,114,Fencer went out of bounds,-307
346,108,Fencer went out of bounds,-307
347,108,Fencer went out of bounds,-307
348,111,Fencer went out of bounds,-307
349,115,Fencer went out of bounds,-307
350,113,Fencer went out of bounds,-307
351,113,Fencer went out of bounds,-307
352,113,Fencer went out of bounds,-307
353,116,Fencer went out of bounds,-307
354,101,Fencer went out of bounds,-300
355,112,Fencer went out of bounds,-307
356,115,Fencer went out of bounds,-307
357,115,Fencer went out of bounds,-307
358,9,Fencer went out of bounds,-208
359,113,Fencer went out of bounds,-307
360,92,Fencer went out of bounds,-291
361,115,Fencer went out of bounds,-307
362,119,Fencer went out of bounds,-307
363,138,Fencer went out of bounds,-306
364,118,Fencer went out of bounds,-306
365,122,Fencer went out of bounds,-306
366,129,Fencer went out of bounds,-307
367,109,Fencer went out of bounds,-308
368,99,Fencer went out of bounds,-298
369,125,Fencer went out of bounds,-308
370,88,Fencer went out of bounds,-287
371,97,Fencer went out of bounds,-296
372,89,Fencer went out of bounds,-288
373,103,Fencer went out of bounds,-302
374,68,Fencer went out of bounds,-267
375,105,Fencer went out of bounds,-304
376,109,Fencer went out of bounds,-307
377,111,Fencer went out of bounds,-310
378,102,Fencer went out of bounds,-301
379,138,Fencer went out of bounds,-307
380,102,Fencer went out of bounds,-301
381,140,Fencer went out of bounds,-305
382,127,Fencer went out of bounds,-306
383,135,Fencer went out of bounds,-307
384,102,Fencer went out of bounds,-301
385,113,Fencer went out of bounds,-307
386,115,Fencer went out of bounds,-307
387,113,Fencer went out of bounds,-307
388,112,Fencer went out of bounds,-307
389,127,Fencer went out of bounds,-306
390,112,Fencer went out of bounds,-307
391,108,Fencer went out of bounds,-307
392,108,Fencer went out of bounds,-307
393,128,Fencer went out of bounds,-306
394,144,Fencer went out of bounds,-305
395,90,Fencer went out of bounds,-289
396,92,Fencer went out of bounds,-291
397,93,Fencer went out of bounds,-292
398,92,Fencer went out of bounds,-291
399,104,Fencer went out of bounds,-303
400,131,Fencer went out of bounds,-306
401,124,Fencer went out of bounds,-307
402,110,Fencer went out of bounds,-307
403,125,Fencer went out of bounds,-307
404,100,Fencer went out of bounds,-299
405,117,Fencer went out of bounds,-307
406,142,Fencer went out of bounds,-306
407,97,Fencer went out of bounds,-296
408,94,Fencer went out of bounds,-293
409,102,Fencer went out of bounds,-301
410,97,Fencer went out of bounds,-296
411,140,Fencer went out of bounds,-306
412,90,Fencer went out of bounds,-289
413,87,Fencer went out of bounds,-286
414,147,Fencer went out of bounds,-307
415,102,Fencer went out of bounds,-301
416,86,Fencer went out of bounds,-285
417,94,Fencer went out of bounds,-293
418,85,Fencer went out of bounds,-284
419,86,Fencer went out of bounds,-285
420,86,Fencer went out of bounds,-285
421,86,Fencer went out of bounds,-285
422,86,Fencer went out of bounds,-285
423,87,Fencer went out of bounds,-286
424,86,Fencer went out of bounds,-285
425,88,Fencer went out of bounds,-287
426,104,Fencer went out of bounds,-303
427,115,Fencer went out of bounds,-307
428,91,Fencer went out of bounds,-290
429,107,Fencer went out of bounds,-306
430,121,Fencer went out of bounds,-305
431,86,Fencer went out of bounds,-285
432,89,Fencer went out of bounds,-288
433,92,Fencer went out of bounds,-291
434,89,Fencer went out of bounds,-288
435,91,Fencer went out of bounds,-290
436,79,Fencer went out of bounds,-278
437,83,Fencer went out of bounds,-282
438,87,Fencer went out of bounds,-286
439,88,Fencer went out of bounds,-287
440,90,Fencer went out of bounds,-289
441,87,Fencer went out of bounds,-286
442,96,Fencer went out of bounds,-295
443,112,Fencer went out of bounds,-307
444,135,Fencer went out of bounds,-308
445,144,Fencer went out of bounds,-306
446,113,Fencer went out of bounds,-307
447,139,Fencer went out of bounds,-306
448,93,Fencer went out of bounds,-292
449,85,Fencer went out of bounds,-284
450,88,Fencer went out of bounds,-287
451,130,Fencer went out of bounds,-306
452,87,Fencer went out of bounds,-286
453,88,Fencer went out of bounds,-287
454,88,Fencer went out of bounds,-287
455,90,Fencer went out of bounds,-289
456,87,Fencer went out of bounds,-286
457,87,Fencer went out of bounds,-286
458,87,Fencer went out of bounds,-286
459,87,Fencer went out of bounds,-286
460,87,Fencer went out of bounds,-286
461,86,Fencer went out of bounds,-285
462,120,Fencer went out of bounds,-306
463,82,Fencer went out of bounds,-281
464,109,Fencer went out of bounds,-307
465,107,Fencer went out of bounds,-306
466,111,Fencer went out of bounds,-306
467,107,Fencer went out of bounds,-306
468,90,Fencer went out of bounds,-289
469,109,Fencer went out of bounds,-307
470,122,Fencer went out of bounds,-307
471,121,Fencer fell over,-206
472,114,Fencer went out of bounds,-307
473,113,Fencer went out of bounds,-307
474,134,Fencer went out of bounds,-306
475,107,Fencer went out of bounds,-306
476,133,Fencer went out of bounds,-305
477,118,Fencer went out of bounds,-306
478,115,Fencer went out of bounds,-307
479,113,Fencer went out of bounds,-307
480,123,Fencer went out of bounds,-306
481,97,Fencer went out of bounds,-296
482,104,Fencer went out of bounds,-303
483,138,Fencer went out of bounds,-304
484,118,Fencer went out of bounds,-306
485,88,Fencer went out of bounds,-287
486,90,Fencer went out of bounds,-289
487,90,Fencer went out of bounds,-289
488,88,Fencer went out of bounds,-287
489,68,Fencer fell over,-167
490,94,Fencer went out of bounds,-293
491,93,Fencer went out of bounds,-292
492,107,Fencer went out of bounds,-306
493,126,Fencer went out of bounds,-306
494,95,Fencer went out of bounds,-294
495,110,Fencer went out of bounds,-306
496,123,Fencer went out of bounds,-305
497,88,Fencer went out of bounds,-287
498,94,Fencer went out of bounds,-293
499,106,Fencer went out of bounds,-305
500,107,Fencer went out of bounds,-306
501,134,Fencer went out of bounds,-306
502,123,Fencer went out of bounds,-306
503,87,Fencer went out of bounds,-286
504,90,Fencer went out of bounds,-289
505,109,Fencer went out of bounds,-307
506,96,Fencer went out of bounds,-295
507,114,Fencer went out of bounds,-306
508,87,Fencer went out of bounds,-286
509,86,Fencer went out of bounds,-285
510,123,Fencer went out of bounds,-306
511,86,Fencer went out of bounds,-285
512,136,Fencer went out of bounds,-305
513,108,Fencer went out of bounds,-307
514,107,Fencer went out of bounds,-306
515,106,Fencer went out of bounds,-305
516,113,Fencer went out of bounds,-307
517,106,Fencer went out of bounds,-305
518,122,Fencer went out of bounds,-307
519,120,Fencer went out of bounds,-307
520,120,Fencer went out of bounds,-307
521,113,Fencer went out of bounds,-307
522,107,Fencer went out of bounds,-306
523,107,Fencer went out of bounds,-306
524,107,Fencer went out of bounds,-306
525,110,Fencer went out of bounds,-307
526,116,Fencer went out of bounds,-307
527,104,Fencer went out of bounds,-303
528,104,Fencer went out of bounds,-303
529,46,Fencer went out of bounds,-245
530,114,Fencer went out of bounds,-306
531,111,Fencer went out of bounds,-306
532,119,Fencer went out of bounds,-306
533,112,Fencer went out of bounds,-306
534,112,Fencer went out of bounds,-306
535,88,Fencer went out of bounds,-287
536,120,Fencer went out of bounds,-306
537,86,Fencer went out of bounds,-285
538,108,Fencer went out of bounds,-307
539,118,Fencer went out of bounds,-306
540,83,Fencer went out of bounds,-282
541,90,Fencer went out of bounds,-289
542,90,Fencer went out of bounds,-289
543,98,Fencer went out of bounds,-297
544,96,Fencer went out of bounds,-295
545,88,Fencer went out of bounds,-287
546,87,Fencer went out of bounds,-286
547,116,Fencer went out of bounds,-306
548,118,Fencer went out of bounds,-306
549,86,Fencer went out of bounds,-285
550,122,Fencer went out of bounds,-307
551,95,Fencer went out of bounds,-294
552,86,Fencer went out of bounds,-285
553,90,Fencer went out of bounds,-289
554,135,Fencer went out of bounds,-306
555,89,Fencer went out of bounds,-288
556,91,Fencer went out of bounds,-290
557,96,Fencer went out of bounds,-295
558,89,Fencer went out of bounds,-288
559,95,Fencer went out of bounds,-294
560,94,Fencer went out of bounds,-293
561,88,Fencer went out of bounds,-287
562,95,Fencer went out of bounds,-294
563,79,Fencer went out of bounds,-278
564,79,Fencer went out of bounds,-278
565,89,Fencer went out of bounds,-288
566,98,Fencer went out of bounds,-297
567,87,Fencer went out of bounds,-286
568,87,Fencer went out of bounds,-286
569,87,Fencer went out of bounds,-286
570,86,Fencer went out of bounds,-285
571,165,Fencer hit opponent,-6
572,84,Fencer went out of bounds,-283
573,159,Fencer went out of bounds,-285
574,79,Fencer went out of bounds,-278
575,86,Fencer went out of bounds,-285
576,86,Fencer went out of bounds,-285
577,81,Fencer went out of bounds,-280
578,90,Fencer went out of bounds,-289
579,84,Fencer went out of bounds,-283
580,103,Fencer went out of bounds,-302
581,132,Fencer went out of bounds,-305
582,105,Fencer went out of bounds,-304
583,157,Fencer went out of bounds,-306
584,106,Fencer went out of bounds,-305
585,87,Fencer went out of bounds,-286
586,86,Fencer went out of bounds,-285
587,88,Fencer went out of bounds,-287
588,88,Fencer went out of bounds,-287
589,98,Fencer went out of bounds,-297
590,117,Fencer went out of bounds,-306
591,87,Fencer went out of bounds,-286
592,87,Fencer went out of bounds,-286
593,90,Fencer went out of bounds,-289
594,88,Fencer went out of bounds,-287
595,87,Fencer went out of bounds,-286
596,87,Fencer went out of bounds,-286
597,92,Fencer went out of bounds,-291
598,89,Fencer went out of bounds,-288
599,92,Fencer went out of bounds,-291
